State,Start (t),End (t),Duration (t)
New,0.000,0.011,0.011
Ready,0.011,0.012,0.001
Running,0.012,1.558,1.546
Waiting,1.558,2.562,1.003
Ready,2.562,3.067,0.505
Running,3.067,5.576,2.509
Waiting,5.576,6.077,0.501
Ready,6.077,6.577,0.500
Running,6.577,8.078,1.501
Waiting,8.078,9.078,1.000
Ready,9.078,9.578,0.501
Running,9.578,11.082,1.504
Waiting,11.082,11.583,0.500
Ready,11.583,12.085,0.503
Running,12.085,14.102,2.017
Waiting,14.102,14.605,0.503
Ready,14.605,15.104,0.499
Running,15.104,17.132,2.029
Waiting,17.132,17.633,0.501
Ready,17.633,17.636,0.003
Running,17.636,19.165,1.529
Waiting,19.165,20.167,1.003
Ready,20.167,20.672,0.504
Running,20.672,21.696,1.024
Terminated,21.696,22.000,0.304
